Record_ID,Student_ID,Survey_Date,Age,Gender,Grade_Level,School_Type,Subject,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Attendance_Percentage,Homework_Completion_Percentage,Study_Method,Tutoring,Internet_Access,Stress_Level,Parent_Support_Level,Previous_Exam_Score,Exam_Score,Final_Result,Teacher_Comment
R2258,S0178,2026-03-20,15.0,Male,Grade 9,Public,English,3.8,7.3,5.1,80.0,71.0,Group Study,No,No,Medium,Medium,79.0,83.0,Good,Homework quality varies
R1969,S0698,2026-04-30,13.0,Female,Grade 8,Public,English,1.2,8.0,3.0,90.0,71.0,Private Tutor,Yes,Yes,Low,Low,69.0,79.0,Good,Good analytical thinking
R3035,S0521,2026-02-05,14.0,Female,Grade 9,Public,Science,2.6,6.7,2.1,75.0,70.0,Notebook / Notes,No,Yes,Medium,Low,89.0,83.0,Good,Improved this term
R1034,S0729,2026-03-15,15.0,Female,Grade 10,Public,English,4.5,6.4,5.0,82.0,96.0,Self Study,Yes,No,Medium,Low,100.0,100.0,Excellent,Improved this term
R0145,S0733,2026-04-16,16.0,Male,Grade 11,Public,Science,2.7,6.1,4.6,80.0,84.0,Self Study,Yes,Yes,Medium,Medium,63.0,92.0,Good,No Comment
R2015,S0320,2026-04-27,16.0,Male,Grade 11,Private,Science,5.3,8.1,4.3,88.0,89.0,Private Tutor,Yes,Yes,Medium,Medium,90.0,100.0,Excellent,No Comment
R1730,S0311,2026-02-05,16.0,Female,Grade 11,Public,History,1.0,6.4,5.4,100.0,59.0,Group Study,Yes,Yes,Medium,High,83.0,86.0,Good,Absent during some activities
R0376,S0189,2026-02-19,13.0,Female,Grade 8,Private,Math,5.6,6.6,3.3,80.0,63.0,Group Study,No,Yes,Low,Medium,100.0,100.0,Excellent,No Comment
R3057,S0118,2026-02-06,16.0,Male,Grade 11,Public,Math,2.4,6.8,1.7,84.0,56.0,Self Study,Yes,Yes,Medium,High,90.0,100.0,Excellent,Needs better time management
R0204,S0661,2026-04-15,14.0,Female,Grade 9,Public,English,3.2,7.5,4.2,79.0,76.0,Group Study,No,Yes,Low,Medium,100.0,100.0,Excellent,Good analytical thinking
R2783,S0332,2026-04-09,15.0,Female,Grade 10,International,Science,2.4,7.9,3.8,94.0,86.0,Online Videos,No,Yes,Medium,Medium,92.0,97.0,Excellent,Excellent focus
R1202,S0507,2026-04-24,16.0,Male,Grade 9,International,Computer Science,0.0,6.5,6.1,90.0,82.0,Self Study,No,Yes,Low,High,71.0,66.0,Pass,Absent during some activities
R2863,S0618,2026-04-03,13.0,Male,Grade 11,Public,English,1.8,7.9,5.5,100.0,76.0,Group Study,Yes,Yes,Low,Medium,71.0,75.0,Good,No Comment
R1300,S0144,2026-04-25,14.0,Male,Grade 9,Private,English,3.3,9.1,4.9,87.0,74.0,Online Videos,Yes,Yes,High,Medium,100.0,100.0,Excellent,Improved this term
R1024,S0382,2026-04-10,13.0,Female,Grade 10,Private,Math,2.5,6.7,3.0,98.0,100.0,Online Videos,Yes,Yes,Medium,Medium,86.0,94.0,Excellent,Good analytical thinking
R0034,S0339,2026-02-27,15.0,Female,Grade 10,Public,History,3.4,7.1,2.3,87.0,64.0,Group Study,No,Yes,High,Medium,96.0,100.0,Excellent,Needs revision plan
R2215,S0256,2026-03-18,14.0,Female,Grade 9,Private,Science,2.5,7.9,4.2,94.0,88.0,Self Study,Yes,Yes,High,High,93.0,94.0,Excellent,Excellent focus
R3750,S0698,2026-03-15,13.0,Female,Grade 8,Public,Computer Science,2.7,4.9,4.9,82.0,72.0,Online Videos,No,Yes,Low,Medium,90.0,74.0,Pass,Needs better time management
R3484,S0629,2026-02-05,13.0,Male,Grade 12,Private,Science,1.0,7.6,6.3,71.0,67.0,Self Study,No,Yes,Medium,Medium,58.0,69.0,Pass,Absent during some activities
R2262,S0454,2026-04-28,16.0,Female,Grade 11,Public,Computer Science,3.8,7.9,3.0,93.0,82.0,Self Study,Yes,Yes,Medium,Low,88.0,100.0,Excellent,Needs better time management
R1088,S0088,2026-04-18,15.0,Female,Grade 12,Public,Math,3.8,6.0,5.1,95.0,83.0,Notebook / Notes,Yes,Yes,High,High,100.0,97.0,Excellent,Absent during some activities
R3265,S0721,2026-02-07,17.0,Female,Grade 12,Public,English,3.6,7.1,3.4,100.0,69.0,Group Study,No,Yes,Medium,Low,100.0,100.0,Excellent,Improved this term
R2480,S0318,2026-02-27,16.0,Female,Grade 9,Public,Computer Science,2.9,8.6,5.5,79.0,48.0,Group Study,No,Yes,Medium,Medium,86.0,84.0,Good,Absent during some activities
R3123,S0373,2026-04-12,13.0,Female,Grade 8,Private,History,0.9,7.4,6.8,72.0,65.0,Self Study,No,Yes,Medium,Medium,88.0,82.0,Good,Homework quality varies
R2701,S0343,2026-02-17,16.0,Female,Grade 11,Private,Math,3.1,7.3,6.8,82.0,68.0,Group Study,No,Yes,Medium,High,75.0,82.0,Good,Good analytical thinking
R2557,S0320,2026-04-04,17.0,Female,Grade 12,Public,Science,3.9,6.4,4.1,69.0,80.0,Online Videos,No,Yes,Medium,Medium,86.0,93.0,Excellent,Improved this term
R3704,S0639,2026-03-18,16.0,Female,Grade 11,Private,Math,2.6,6.5,2.5,75.0,76.0,Private Tutor,Yes,Yes,Medium,Medium,86.0,86.0,Good,Consistent effort
R1465,S0052,2026-04-13,14.0,Male,Grade 9,Private,History,1.9,6.7,5.0,85.0,50.0,Group Study,No,Yes,Medium,High,66.0,69.0,Pass,No Comment
R0434,S0309,2026-03-12,16.0,Female,Grade 11,Private,Science,2.7,7.8,4.5,86.0,74.0,Private Tutor,Yes,No,Low,Medium,90.0,91.0,Excellent,Excellent focus
R2097,S0188,2026-03-30,14.0,Female,Grade 9,Public,English,4.4,7.2,3.6,87.0,53.0,Self Study,No,Yes,Low,Medium,91.0,100.0,Excellent,Needs revision plan
R3100,S0384,2026-02-04,16.0,Female,Grade 11,Private,History,2.8,7.3,4.2,89.0,56.0,Online Videos,Yes,No,Medium,High,86.0,89.0,Good,No Comment
R3088,S0100,2026-02-13,15.0,Male,Grade 10,Public,Computer Science,1.6,7.5,3.4,81.0,58.0,Notebook / Notes,No,No,High,High,68.0,73.0,Pass,Improved this term
R2134,S0591,2026-02-22,15.0,Female,Grade 10,Public,Science,1.9,8.6,5.4,88.0,76.0,Self Study,No,Yes,Medium,Medium,75.0,73.0,Pass,No Comment
R1104,S0216,2026-04-06,15.0,Male,Grade 9,Public,Computer Science,3.5,5.9,4.2,85.0,41.0,Self Study,No,Yes,Medium,Low,94.0,92.0,Excellent,No Comment
R0833,S0448,2026-04-15,13.0,Female,Grade 11,Private,Science,3.7,7.8,2.2,85.0,100.0,Online Videos,No,Yes,Low,Medium,94.0,89.0,Good,Improved this term
R1360,S0704,2026-03-29,14.0,Female,Grade 9,International,Computer Science,2.8,8.2,5.4,77.0,68.0,Online Videos,Yes,Yes,Medium,High,95.0,98.0,Excellent,Often distracted
R2419,S0481,2026-04-14,14.0,Female,Grade 9,Public,History,1.0,8.2,4.5,78.0,71.0,Private Tutor,Yes,Yes,Low,Medium,81.0,77.0,Good,No Comment
R1446,S0176,2026-03-20,16.0,Male,Grade 11,Private,Computer Science,4.5,8.3,2.7,74.0,71.0,Self Study,No,Yes,Low,High,100.0,100.0,Excellent,No Comment
R3237,S0542,2026-02-22,15.0,Male,Grade 10,Private,Math,3.5,7.7,3.6,86.0,86.0,Self Study,Yes,Yes,Medium,Medium,88.0,99.0,Excellent,Homework quality varies
R0049,S0229,2026-03-18,13.0,Female,Grade 8,International,Science,4.5,6.7,5.4,91.0,83.0,Private Tutor,No,Yes,High,Medium,100.0,99.0,Excellent,Needs revision plan
R2905,S0290,2026-04-19,17.0,Female,Grade 12,Private,Computer Science,3.8,6.5,7.7,87.0,70.0,Notebook / Notes,No,Yes,High,Low,69.0,74.0,Pass,No Comment
R3878,S0419,2026-04-04,14.0,Male,Grade 9,Private,English,3.2,7.2,4.7,92.0,51.0,Private Tutor,No,Yes,High,High,95.0,90.0,Excellent,No Comment
R0956,S0534,2026-04-11,16.0,Female,Grade 11,Public,Math,3.6,7.2,1.8,93.0,89.0,Self Study,No,Yes,Medium,High,86.0,92.0,Excellent,Often distracted
R3473,S0612,2026-04-07,15.0,Male,Grade 10,Public,Math,4.5,6.2,1.0,87.0,73.0,Self Study,No,Yes,Medium,Medium,100.0,99.0,Excellent,Often distracted
R2443,S0543,2026-04-04,14.0,Male,Grade 9,International,English,2.4,5.9,6.2,85.0,70.0,Notebook / Notes,No,Yes,Medium,High,83.0,84.0,Good,Good analytical thinking
R2808,S0245,2026-04-12,16.0,Female,Grade 11,International,Science,4.0,7.5,5.8,88.0,47.0,Self Study,No,Yes,Low,Medium,94.0,99.0,Excellent,Consistent effort
R0897,S0596,2026-04-13,16.0,Female,Grade 11,Private,Computer Science,3.5,6.3,2.0,81.0,92.0,Online Videos,Yes,No,Medium,High,100.0,100.0,Excellent,No Comment
R3438,S0430,2026-04-20,13.0,Female,Grade 8,Public,Math,3.5,8.7,6.2,99.0,100.0,Self Study,No,Yes,Medium,Low,96.0,99.0,Excellent,Needs revision plan
R0091,S0245,2026-04-17,14.0,Male,Grade 9,Public,English,4.5,7.4,5.2,99.0,95.0,Self Study,No,Yes,Medium,High,100.0,99.0,Excellent,Needs better time management
R2272,S0096,2026-04-12,17.0,Male,Grade 12,Private,History,2.6,6.4,2.7,79.0,88.0,Self Study,No,Yes,Medium,Medium,79.0,88.0,Good,No Comment
R1547,S0373,2026-03-04,16.0,Female,Grade 11,International,Science,3.4,6.3,4.5,76.0,70.0,Private Tutor,Yes,Yes,High,Medium,93.0,93.0,Excellent,Needs better time management
R2087,S0112,2026-05-01,13.0,Male,Grade 8,Public,Science,5.3,7.5,1.3,86.0,79.0,Self Study,No,Yes,Low,Low,87.0,92.0,Good,Often distracted
R1307,S0535,2026-04-13,14.0,Female,Grade 11,Public,Science,5.2,6.9,4.7,86.0,94.0,Private Tutor,No,Yes,High,Medium,100.0,97.0,Excellent,Excellent focus
R1568,S0444,2026-04-28,14.0,Male,Grade 9,Private,Computer Science,3.6,7.4,5.3,87.0,82.0,Self Study,No,Yes,Low,Medium,87.0,90.0,Excellent,Absent during some activities
R1655,S0581,2026-02-04,14.0,Male,Grade 9,Public,Science,2.7,7.8,5.6,82.0,100.0,Online Videos,No,Yes,Low,High,100.0,95.0,Excellent,Needs better time management
R1055,S0196,2026-03-06,13.0,Male,Grade 8,Public,Science,3.7,7.2,6.9,94.0,89.0,Online Videos,No,Yes,Medium,Medium,93.0,100.0,Excellent,Excellent focus
R1475,S0270,2026-03-20,15.0,Female,Grade 10,Private,History,2.6,7.4,2.5,91.0,87.0,Private Tutor,No,Yes,Medium,Low,100.0,95.0,Excellent,Good analytical thinking
R2032,S0302,2026-03-06,13.0,Male,Grade 9,Public,Science,1.9,7.2,2.6,87.0,53.0,Online Videos,No,Yes,Medium,Medium,87.0,81.0,Good,Excellent focus
R3401,S0503,2026-04-08,16.0,Male,Grade 11,Private,English,3.3,7.6,4.2,81.0,80.0,Online Videos,No,Yes,Low,High,100.0,94.0,Excellent,Absent during some activities
R0293,S0336,2026-05-01,14.0,Male,Grade 9,Private,Computer Science,2.1,8.4,4.1,87.0,100.0,Notebook / Notes,Yes,Yes,Low,Low,82.0,87.0,Good,Consistent effort
R0214,S0310,2026-02-16,13.0,Male,Grade 8,Public,History,2.4,6.1,4.2,89.0,81.0,Self Study,Yes,Yes,Medium,High,90.0,99.0,Excellent,Consistent effort
R1970,S0169,2026-03-12,15.0,Female,Grade 10,Public,English,1.9,5.8,0.9,80.0,87.0,Online Videos,No,Yes,High,Medium,96.0,86.0,Excellent,Improved this term
R3345,S0042,2026-02-19,16.0,Female,Grade 11,Public,Math,2.8,5.8,5.2,87.0,71.0,Self Study,No,No,Medium,Low,77.0,75.0,Good,Consistent effort
R2657,S0244,2026-04-24,17.0,Female,Grade 12,Private,English,1.9,7.2,4.2,86.0,64.0,Group Study,No,Yes,Low,High,83.0,83.0,Good,No Comment
R3294,S0158,2026-03-18,15.0,Female,Grade 10,Private,Computer Science,3.2,7.6,5.6,80.0,68.0,Self Study,No,No,Low,Medium,77.0,95.0,Excellent,Improved this term
R3518,S0465,2026-04-01,16.0,Female,Grade 11,Private,History,3.2,5.5,5.7,86.0,85.0,Online Videos,No,Yes,High,Low,78.0,85.0,Good,Improved this term
R2339,S0119,2026-04-17,15.0,Male,Grade 10,Private,Science,2.6,6.5,5.7,93.0,81.0,Notebook / Notes,No,Yes,Medium,High,100.0,100.0,Excellent,Needs revision plan
R0907,S0087,2026-02-05,13.0,Male,Grade 8,Public,Math,3.8,6.9,6.1,92.0,100.0,Self Study,No,No,Low,Medium,82.0,89.0,Good,Needs revision plan
R1559,S0681,2026-04-27,16.0,Female,Grade 12,Private,English,3.5,6.3,7.4,83.0,73.0,Self Study,No,Yes,Medium,Medium,100.0,96.0,Excellent,Consistent effort
R2903,S0415,2026-02-16,15.0,Male,Grade 10,International,Math,1.4,6.7,3.7,79.0,81.0,Group Study,Yes,Yes,Medium,High,94.0,100.0,Excellent,Often distracted
R0050,S0629,2026-04-18,16.0,Female,Grade 11,Private,History,2.8,7.6,3.0,78.0,100.0,Online Videos,Yes,Yes,Medium,High,79.0,86.0,Good,Consistent effort
R1901,S0735,2026-03-28,15.0,Male,Grade 10,International,Science,3.1,7.0,2.3,70.0,64.0,Self Study,No,Yes,Medium,High,82.0,96.0,Excellent,Consistent effort
R2275,S0044,2026-02-01,16.0,Male,Grade 11,Private,Science,2.6,7.8,2.4,93.0,66.0,Self Study,Yes,No,High,Medium,82.0,83.0,Good,Strong participation
R1141,S0001,2026-03-25,13.0,Male,Grade 8,Private,Computer Science,1.5,8.1,4.2,86.0,100.0,Online Videos,No,Yes,Medium,High,87.0,88.0,Good,Homework quality varies
R1713,S0479,2026-04-21,14.0,Male,Grade 9,Private,English,3.9,5.7,0.5,71.0,85.0,Self Study,Yes,Yes,Medium,Low,90.0,100.0,Excellent,Needs better time management
R3442,S0484,2026-03-04,13.0,Male,Grade 8,Public,English,1.7,4.6,5.6,88.0,97.0,Notebook / Notes,No,Yes,Medium,Medium,77.0,74.0,Pass,Homework quality varies
R1306,S0010,2026-03-11,16.0,Male,Grade 8,Public,Science,1.9,6.8,3.5,69.0,53.0,Online Videos,No,Yes,High,Low,60.0,67.0,Pass,No Comment
R1450,S0582,2026-02-08,14.0,Female,Grade 9,Public,Computer Science,2.9,7.2,3.8,89.0,84.0,Self Study,Yes,No,High,High,96.0,100.0,Excellent,Consistent effort
R1541,S0572,2026-02-15,15.0,Female,Grade 10,Private,Science,4.4,8.1,4.5,82.0,55.0,Group Study,No,Yes,Medium,High,85.0,97.0,Excellent,Needs revision plan
R2842,S0419,2026-02-11,15.0,Female,Grade 10,Private,Math,3.0,7.3,3.3,93.0,67.0,Self Study,No,Yes,High,Low,66.0,72.0,Pass,No Comment
R2174,S0003,2026-03-11,17.0,Female,Grade 12,International,Science,4.7,7.2,4.8,91.0,59.0,Group Study,No,Yes,High,Medium,100.0,93.0,Excellent,Needs better time management
R3894,S0083,2026-04-06,13.0,Female,Grade 8,Public,English,3.7,7.8,2.2,72.0,43.0,Online Videos,No,Yes,High,Medium,77.0,83.0,Good,No Comment
R0912,S0324,2026-02-09,15.0,Male,Grade 12,Private,Math,2.6,6.9,3.6,85.0,55.0,Self Study,No,No,High,High,70.0,81.0,Good,Strong participation
R3532,S0292,2026-02-10,13.0,Female,Grade 8,International,Computer Science,2.7,7.0,4.3,90.0,56.0,Group Study,No,No,Low,Low,90.0,63.0,Pass,No Comment
R2050,S0429,2026-03-21,13.0,Female,Grade 8,Public,History,2.5,8.4,4.3,90.0,89.0,Private Tutor,No,Yes,Medium,Low,88.0,100.0,Excellent,Homework quality varies
R3124,S0664,2026-03-26,15.0,Male,Grade 9,Public,Science,5.8,7.9,3.1,97.0,74.0,Private Tutor,No,Yes,Low,High,93.0,100.0,Excellent,No Comment
R1846,S0093,2026-04-18,15.0,Male,Grade 10,Public,History,3.9,6.1,6.8,90.0,100.0,Self Study,Yes,Yes,Medium,High,75.0,90.0,Excellent,Consistent effort
R3552,S0322,2026-02-21,13.0,Male,Grade 12,Private,History,4.3,7.8,4.8,99.0,61.0,Group Study,No,Yes,Low,Low,84.0,87.0,Good,Needs revision plan
R3842,S0384,2026-03-31,15.0,Male,Grade 10,Public,Math,2.5,5.8,3.9,87.0,65.0,Self Study,No,Yes,Medium,Medium,87.0,90.0,Excellent,Often distracted
R2982,S0709,2026-04-22,13.0,Female,Grade 8,Private,History,4.8,7.4,3.0,75.0,80.0,Online Videos,No,Yes,High,Medium,99.0,100.0,Excellent,Strong participation
R2751,S0111,2026-04-07,14.0,Female,Grade 10,Private,Math,3.9,6.9,2.6,79.0,70.0,Group Study,No,Yes,Medium,Medium,100.0,100.0,Excellent,Excellent focus
R2070,S0075,2026-10-02,17.0,Male,Grade 12,Public,Science,3.7,7.2,5.2,100.0,77.0,Online Videos,No,Yes,Medium,Medium,90.0,100.0,Excellent,Improved this term
R2463,S0393,2026-03-26,17.0,Female,Grade 12,Public,English,3.6,6.5,4.2,89.0,83.0,Self Study,Yes,Yes,Low,Medium,91.0,94.0,Excellent,No Comment
R0303,S0570,2026-02-01,13.0,Female,Grade 8,Public,Computer Science,4.0,7.0,4.2,94.0,65.0,Notebook / Notes,No,Yes,High,Medium,90.0,92.0,Excellent,No Comment
R2140,S0631,2026-02-23,14.0,Male,Grade 9,Public,History,3.2,8.7,4.6,99.0,81.0,Online Videos,Yes,Yes,Medium,Medium,92.0,92.0,Excellent,Often distracted
R3021,S0089,2026-04-15,14.0,Male,Grade 9,Public,Science,2.5,6.1,4.3,77.0,67.0,Group Study,No,Yes,Medium,Low,81.0,88.0,Good,Needs revision plan
R0406,S0397,2026-02-28,13.0,Male,Grade 12,Private,Science,1.7,7.2,4.1,82.0,100.0,Group Study,No,Yes,High,High,76.0,76.0,Good,Absent during some activities
R1793,S0557,2026-03-15,14.0,Male,Grade 9,International,Math,1.5,7.5,1.8,82.0,81.0,Self Study,No,Yes,Medium,Medium,100.0,96.0,Excellent,Absent during some activities
R1709,S0502,2026-04-28,17.0,Male,Grade 12,Public,Computer Science,3.1,7.0,3.2,77.0,98.0,Group Study,No,Yes,Low,Medium,95.0,100.0,Excellent,No Comment
R3195,S0060,2026-02-03,15.0,Male,Grade 10,Private,Computer Science,5.2,6.1,5.8,98.0,89.0,Self Study,No,Yes,Low,High,100.0,100.0,Excellent,Homework quality varies
R0754,S0737,2026-03-09,16.0,Male,Grade 11,Private,Computer Science,3.6,9.3,6.5,87.0,76.0,Online Videos,Yes,Yes,High,High,100.0,95.0,Excellent,Improved this term
R3898,S0536,2026-02-22,13.0,Male,Grade 8,Public,Math,3.2,8.6,4.2,76.0,94.0,Group Study,Yes,Yes,Low,Medium,90.0,96.0,Excellent,Good analytical thinking
R3651,S0702,2026-03-28,16.0,Female,Grade 11,Private,Science,3.9,8.3,4.2,71.0,73.0,Online Videos,No,Yes,Medium,Medium,100.0,100.0,Excellent,Needs revision plan
R2047,S0266,2026-03-02,17.0,Male,Grade 12,Public,Science,4.3,7.2,2.7,77.0,63.0,Self Study,Yes,No,Medium,High,100.0,100.0,Excellent,Absent during some activities
R0729,S0413,2026-02-27,13.0,Male,Grade 8,International,History,4.4,7.9,4.9,84.0,43.0,Notebook / Notes,No,Yes,Medium,High,81.0,87.0,Good,Needs better time management
R2347,S0409,2026-04-09,13.0,Female,Grade 8,Public,English,0.5,8.1,2.8,88.0,62.0,Private Tutor,No,Yes,Medium,Medium,100.0,96.0,Excellent,Strong participation
R0742,S0749,2026-04-15,17.0,Female,Grade 12,Public,English,5.1,6.9,4.6,82.0,58.0,Online Videos,No,Yes,Low,Medium,90.0,92.0,Good,Good analytical thinking
R1660,S0628,2026-02-16,14.0,Female,Grade 11,Private,English,3.2,7.2,4.6,84.0,83.0,Online Videos,No,No,High,High,90.0,74.0,Pass,Excellent focus
R0325,S0723,2026-03-14,16.0,Male,Grade 11,Public,Computer Science,2.6,6.5,3.9,84.0,88.0,Self Study,No,Yes,Medium,High,94.0,97.0,Excellent,Consistent effort
R2173,S0174,2026-04-30,14.0,Male,Grade 9,Public,English,0.4,7.0,3.1,100.0,70.0,Online Videos,No,No,Medium,Medium,90.0,92.0,Pass,Good analytical thinking
R3443,S0680,2026-02-18,16.0,Male,Grade 11,Private,Science,2.0,8.0,3.9,84.0,76.0,Self Study,No,Yes,Medium,Medium,91.0,95.0,Excellent,Good analytical thinking
R2393,S0669,2026-02-24,15.0,Female,Grade 10,Public,English,1.3,5.8,1.2,91.0,98.0,Self Study,No,Yes,High,Low,70.0,81.0,Good,Absent during some activities
R1692,S0734,2026-02-06,16.0,Female,Grade 11,Public,Science,0.3,8.6,2.8,83.0,83.0,Private Tutor,No,Yes,Low,Low,82.0,81.0,Good,Consistent effort
R0984,S0544,2026-03-24,15.0,Female,Grade 10,Public,Science,4.1,6.3,2.7,82.0,91.0,Online Videos,Yes,Yes,Medium,Medium,100.0,90.0,Excellent,No Comment
R2683,S0226,2026-03-04,14.0,Female,Grade 9,Private,History,4.1,7.0,3.9,88.0,76.0,Self Study,Yes,Yes,Medium,High,100.0,100.0,Excellent,Consistent effort
R0791,S0418,2026-03-17,14.0,Male,Grade 9,International,History,1.7,5.8,3.3,75.0,69.0,Group Study,No,Yes,High,Low,75.0,84.0,Good,No Comment
R0760,S0633,2026-02-11,15.0,Male,Grade 9,Public,Computer Science,3.3,6.6,6.9,84.0,61.0,Online Videos,No,Yes,High,Medium,64.0,72.0,Pass,Homework quality varies
R2929,S0137,2026-03-23,13.0,Male,Grade 8,International,Math,3.5,5.6,4.3,79.0,79.0,Group Study,No,Yes,High,Medium,88.0,84.0,Good,Excellent focus
R1538,S0657,2026-04-09,14.0,Male,Grade 9,Private,Math,1.3,9.0,1.8,80.0,80.0,Self Study,No,Yes,Medium,Medium,66.0,79.0,Good,Good analytical thinking
R3653,S0010,2026-03-18,14.0,Male,Grade 9,International,Math,2.0,7.0,4.3,84.0,73.0,Private Tutor,No,Yes,Low,Low,71.0,73.0,Pass,No Comment
R3216,S0624,2026-03-11,17.0,Male,Grade 12,International,History,3.2,8.2,2.8,81.0,64.0,Online Videos,No,Yes,Medium,Medium,97.0,100.0,Excellent,Often distracted
R0513,S0164,2026-04-26,16.0,Male,Grade 11,International,English,0.0,7.1,3.0,92.0,61.0,Online Videos,No,Yes,High,Medium,74.0,71.0,Pass,Good analytical thinking
